"indicator_id","indicator_name"
"CoHD_of_prop","Cost share for oils and fats in a least-cost healthy diet"
"CoHD_of_ss","Cost of oils and fats relative to the starchy staples in a least-cost healthy diet"
"CoHD_of_ss","Cost of oils and fats relative to the starchy staples in a least-cost healthy diet"
"CoHD_pov","Affordability of a healthy diet: ratio of cost to the food poverty line"
"CoHD_pov","Affordability of a healthy diet: ratio of cost to the food poverty line"
"CoNA_fexp","Affordability of a nutrient adequate diet: ratio of cost to food expenditures"
"CoNA_fexp","Affordability of a nutrient adequate diet: ratio of cost to food expenditures"
"CoNA_pov","Affordability of a nutrient adequate diet: ratio of cost to the food poverty line"
"CoNA_pov","Affordability of a nutrient adequate diet: ratio of cost to the food poverty line"
"CRPFM-11","Climate-responsive fiscal decentralization"
"CRPFM-11.1","Climate-responsive fiscal decentralization arrangements"
"CRPFM-11.2","Climate-responsive fiscal transfers"
"CRPFM-13.2","Climate-related evaluation of taxes"
"CRPFM-7.1","Fiscal risks arising from climate-related contingent liabilities"
"CRPFM-9","Climate-responsive tax administration"
"CRPFM-9.1","Climate-related tax management, audit, and investigation"
"CRPFM-9.2","Climate-related tax arrears"
"DP.DOD.DECD.CR.BC.Z1","Gross PSD, Budgetary Central Gov., All maturities, All instruments, Domestic creditors, Nominal Value, % of GDP"
"DP.DOD.DECD.CR.CG.Z1","Gross PSD, Central Gov., All maturities, All instruments, Domestic creditors, Nominal Value, % of GDP"
"DP.DOD.DECD.CR.FC.Z1","Gross PSD, Financial Public Corp., All maturities, All instruments, Domestic creditors, Nominal Value, % of GDP"
"DP.DOD.DECD.CR.GG.Z1","Gross PSD, General Gov., All maturities, All instruments, Domestic creditors, Nominal Value, % of GDP"
"DP.DOD.DECD.CR.NF.Z1","Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Domestic creditors, Nominal Value, % of GDP"
"DP.DOD.DECF.CR.BC.Z1","Gross PSD, Budgetary Central Gov., All maturities, All instruments, Foreign currency, Nominal Value, % of GDP"
"DP.DOD.DECF.CR.CG.Z1","Gross PSD, Central Gov., All maturities, All instruments, Foreign currency, Nominal Value, % of GDP"
