"flow_id","code","code_name"
"IRFCL","IRFCLDT2_IRFCL1_SM3MUTY_IN_LP_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Forwards and futures in foreign currencies vis-s-vis the domestic currency (including the forward leg of currency swaps), More than 3 months and up to 1 year, Inflows, Long positions"
"IRFCL","IRFCLDT2_IRFCL1_SM3MUTY_IN_LP_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Forwards and futures in foreign currencies vis-s-vis the domestic currency (including the forward leg of currency swaps), More than 3 months and up to 1 year, Inflows, Long positions"
"IRFCL","IRFCLDT2_IRFCL1_SM3MUTY_SHP_EUR","Predetermined short-term net drains on foreign currency assets (nominal value), Forwards and futures in foreign currencies vis-s-vis the domestic currency (including the forward leg of currency swaps), More than 3 months and up to 1 year, Short positions"
"IRFCL","IRFCLDT2_IRFCL1_SM3MUTY_SHP_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Forwards and futures in foreign currencies vis-s-vis the domestic currency (including the forward leg of currency swaps), More than 3 months and up to 1 year, Short positions"
"IRFCL","IRFCLDT2_IRFCL1_SM3MUTY_SHP_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Forwards and futures in foreign currencies vis-s-vis the domestic currency (including the forward leg of currency swaps), More than 3 months and up to 1 year, Short positions"
"IRFCL","IRFCLDT2_IRFCL1_SUTM_IN_LP_EUR","Predetermined short-term net drains on foreign currency assets (nominal value), Forwards and futures in foreign currencies vis-s-vis the domestic currency (including the forward leg of currency swaps), Up to 1 month, Inflows, Long positions"
"IRFCL","IRFCLDT2_IRFCL1_SUTM_IN_LP_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Forwards and futures in foreign currencies vis-s-vis the domestic currency (including the forward leg of currency swaps), Up to 1 month, Inflows, Long positions"
"IRFCL","IRFCLDT2_IRFCL1_SUTM_IN_LP_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Forwards and futures in foreign currencies vis-s-vis the domestic currency (including the forward leg of currency swaps), Up to 1 month, Inflows, Long positions"
"IRFCL","IRFCLDT2_IRFCL1_SUTM_SHP_EUR","Predetermined short-term net drains on foreign currency assets (nominal value), Forwards and futures in foreign currencies vis-s-vis the domestic currency (including the forward leg of currency swaps), Up to 1 month, Short positions"
"IRFCL","IRFCLDT2_IRFCL1_SUTM_SHP_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Forwards and futures in foreign currencies vis-s-vis the domestic currency (including the forward leg of currency swaps), Up to 1 month, Short positions"
"IRFCL","IRFCLDT2_IRFCL1_SUTM_SHP_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Forwards and futures in foreign currencies vis-s-vis the domestic currency (including the forward leg of currency swaps), Up to 1 month, Short positions"
"IRFCL","IRFCLDT2_IRFCL151_SM1MUT3M_FO_EUR","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, interest, More than 1 and up to 3 months, Outflows (reserves template)"
"IRFCL","IRFCLDT2_IRFCL151_SM1MUT3M_FO_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, interest, More than 1 and up to 3 months, Outflows (reserves template)"
"IRFCL","IRFCLDT2_IRFCL151_SM1MUT3M_FO_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, interest, More than 1 and up to 3 months, Outflows (reserves template)"
"IRFCL","IRFCLDT2_IRFCL151_SM1MUT3M_IN_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, interest, More than 1 and up to 3 months, Inflows"
"IRFCL","IRFCLDT2_IRFCL151_SM1MUT3M_IN_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, interest, More than 1 and up to 3 months, Inflows"
"IRFCL","IRFCLDT2_IRFCL151_SM3MUTY_FO_EUR","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, interest, More than 3 months and up to 1 year, Outflows (reserves template)"
"IRFCL","IRFCLDT2_IRFCL151_SM3MUTY_FO_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, interest, More than 3 months and up to 1 year, Outflows (reserves template)"
"IRFCL","IRFCLDT2_IRFCL151_SM3MUTY_FO_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, interest, More than 3 months and up to 1 year, Outflows (reserves template)"
"IRFCL","IRFCLDT2_IRFCL151_SM3MUTY_IN_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, interest, More than 3 months and up to 1 year, Inflows"
"IRFCL","IRFCLDT2_IRFCL151_SM3MUTY_IN_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, interest, More than 3 months and up to 1 year, Inflows"
"IRFCL","IRFCLDT2_IRFCL151_SUTM_FO_EUR","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, interest, Up to 1 month, Outflows (reserves template)"
"IRFCL","IRFCLDT2_IRFCL151_SUTM_FO_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, interest, Up to 1 month, Outflows (reserves template)"
"IRFCL","IRFCLDT2_IRFCL151_SUTM_FO_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, interest, Up to 1 month, Outflows (reserves template)"
"IRFCL","IRFCLDT2_IRFCL151_SUTM_IN_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, interest, Up to 1 month, Inflows"
"IRFCL","IRFCLDT2_IRFCL151_SUTM_IN_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Foreign currency loans, securities and deposits, interest, Up to 1 month, Inflows"
"IRFCL","IRFCLDT2_IRFCL1T_IN_LP_EUR","Predetermined short-term net drains on foreign currency assets (nominal value), Total forwards and futures in foreign currencies vis ?? vis the domestic currency (including the forward leg of currency swaps), Inflows, Long positions"
"IRFCL","IRFCLDT2_IRFCL1T_IN_LP_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Total forwards and futures in foreign currencies vis ?? vis the domestic currency (including the forward leg of currency swaps), Inflows, Long positions"
