flow_id,flow_name,dsd_ref,concept_ref,codelist_id,indicator_candidate,code,code_name,parent_code
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PPOIL,"Palm oil, Unit prices, US dollars per metric tonne",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,NGDPRPPPPC,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PRAWMW,"Agricultural raw materials, Commodity price index",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PSMEA,"Soybean meal, Unit prices, US dollars per metric tonne",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PCOTTIND,"Cotton, Unit prices, US cents per pound",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PCOALAU,"Coal, Australia, Unit prices, US dollars per metric tonne",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PNGASUS,"Natural Gas, US Henry Hub Gas, Unit prices, US dollars per metric tonne",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,TXGM_D,"Exports of manufactures, Price deflator, Free on board (FOB), Index",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,TM_RPCH,"Imports of goods and services, Volume, Cost insurance freight (CIF), Percent change",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PSOIL,"Soybeans oil, Unit prices, US dollars per metric tonne",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PSUGAISA,"Sugar, No. 11, World, Unit prices, US cents per pound",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,BFF,"Financial derivatives and employee stock options, Net (assets minus liabilities), US dollar",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,NGAP_NPGDP,"Output gap, Percent of potential GDP",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PSOYB,"Soybeans, Unit prices, US dollars per metric tonne",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PINDUW,"Industrial materials, Commodity price index",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,GGXCNL,"Net lending (+) / net borrowing (-), General government, Domestic currency",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,BFRA,"Change in reserve assets, Net (assets minus liabilities), US dollar",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,TXGM_DPCH,"Exports of manufactures, Price deflator, Free on board (FOB), Percent change",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,POILBRE,"Brent crude, Unit prices, US dollars per barrel",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PSHRI,"Shrimp, Unit prices, US dollars per kilogram",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,GGXCNL_NGDP,"Net lending (+) / net borrowing (-), General government, Percent of GDP",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PCOALW,"Coal, Commodity price index",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PBEVEW,"Beverages, Commodity price index",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PWOOLW,"Wool, Commodity price index",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,POILDUB,"Dubai crude, Unit prices, US dollars per barrel",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,POILWTI,"WTI crude, Unit prices, US dollars per barrel",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PCOFFW,"Coffee, Commodity price index",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PCPI,"All Items, Consumer price index (CPI), Period average",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PSEAFW,"Seafood, Commodity price index",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PTIMBW,"Timber, Commodity price index",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,GGXONLB_NGDP,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PSUGAW,"Sugar, Commodity price index",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,POILAPSP,"APSP crude oil, Unit prices, US dollars per barrel",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PCEREW,"Cereal, Commodity price index",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PALLFNFW,"All commodities, Commodity price index",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PCPIE,"All Items, Consumer price index (CPI), End-of-period (EoP)",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,GGXONLB,"Primary net lending (+) / net borrowing (-), General government, Domestic currency",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,TXG_RPCH,"Exports of goods, Volume, Free on board (FOB), Percent change",NA
